timestamp,ticker,title,event_ticker,category,status,close_time,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,last_trade_price
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20259802FA699AB-C6EDB305054,"yes Puka Nacua,yes Kenneth Walker III,yes Rashid Shaheed,yes AJ Barner",KXMVESPORTSMULTIGAMEEXTENDED-S20259802FA699AB,,active,2026-02-08T23:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVENBASINGLEGAME-S2025445BD5BA7BC-914D531ADB3,"yes Donovan Mitchell: 2+,yes Paolo Banchero: 6+",KXMVENBASINGLEGAME-S2025445BD5BA7BC,,active,2026-02-08T00:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025A10A30C88C7-C3F15D2FBA5,"yes Stephen Curry: 25+,yes Anthony Edwards: 20+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 10+,yes Tyrese Maxey: 25+,yes Miles Bridges: 10+,yes Mikal Bridges: 2+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+",KXMVESPORTSMULTIGAMEEXTENDED-S2025A10A30C88C7,,active,2026-02-07T22:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S202564378DCF8B7-A67CDD9206A,"yes Washington,yes Kon Knueppel: 15+,yes LaMelo Ball: 15+,yes Miles Bridges: 15+,yes Kon Knueppel: 4+,yes LaMelo Ball: 5+,no Over 233.5 points scored",KXMVESPORTSMULTIGAMEEXTENDED-S202564378DCF8B7,,active,2026-02-07T23:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S202552F5E3F5D15-79CE12C304B,"yes Chicago,yes Golden State,yes Los Angeles L,yes New York,yes Charlotte,no Over 242.5 points scored,no Over 249.5 points scored,no Over 245.5 points scored,no Over 237.5 points scored,no Over 239.5 points scored",KXMVESPORTSMULTIGAMEEXTENDED-S202552F5E3F5D15,,active,2026-02-08T01:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20257861CF78E11-B1A8ADCC81F,"yes Courtland Sutton,yes Drake Maye,yes Rhamondre Stevenson,yes Stefon Diggs,yes Courtland Sutton: 3+,yes Evan Engram: 1+,yes Hunter Henry: 2+,yes Kayshon Boutte: 1+,yes Rhamondre Stevenson: 1+,yes Stefon Diggs: 3+",KXMVESPORTSMULTIGAMEEXTENDED-S20257861CF78E11,,active,2026-02-08T20:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20252DF1EDD09F1-48049B831D0,"yes Clemson,yes Liberty,yes New Mexico St.,yes Iowa St.,yes Michigan St.,yes Kentucky,yes Nebraska,yes Sacred Heart,yes Texas A&M,yes Gonzaga,yes St. John's,yes Temple,yes St. Thomas,yes UConn,yes Louisville,yes Duke,yes Arizona,yes Yale",KXMVESPORTSMULTIGAMEEXTENDED-S20252DF1EDD09F1,,active,2026-02-07T17:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20256B1AA25CAA9-3006286A2F2,"yes Chicago,yes Golden State,yes Los Angeles L,yes New York,no Over 242.5 points scored,no Over 249.5 points scored,no Over 245.5 points scored,no Over 237.5 points scored,no Over 239.5 points scored",KXMVESPORTSMULTIGAMEEXTENDED-S20256B1AA25CAA9,,active,2026-02-08T01:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025F0E85C34C2E-896FBBDD0B2,"yes Kyren Williams,yes Matthew Stafford,yes Kenneth Walker III,yes Los Angeles R,yes Sam Darnold: 1+,yes Matthew Stafford: 175+,yes Sam Darnold: 175+,yes Tyler Higbee: 1+,yes AJ Barner: 1+,yes Kyren Williams: 10+,yes Cooper Kupp: 20+,yes Jaxon Smith-Njigba: 80+,yes Rashid Shaheed: 10+,yes Blake Corum: 20+,yes Kyren Williams: 50+,yes Over 47.5 points scored",KXMVESPORTSMULTIGAMEEXTENDED-S2025F0E85C34C2E,,active,2026-02-08T23:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025E9B85E8A623-33B32A14CC6,"yes Courtland Sutton,yes Drake Maye,yes Rhamondre Stevenson,yes Stefon Diggs,yes Courtland Sutton: 3+,yes Hunter Henry: 2+,yes Kayshon Boutte: 1+,yes Rhamondre Stevenson: 1+,yes Stefon Diggs: 3+",KXMVESPORTSMULTIGAMEEXTENDED-S2025E9B85E8A623,,active,2026-02-08T20:00:00Z,0,0,100,100,0,0,
